,serviceCharge,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,yearConstructedRange,baseRent,livingSpace,baseRentRange,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,livingSpaceRange,lastRefurbish,americanArea,condition_num,newlyConst_num,balcony_num,hasKitchen_num,cellar_num,lift_num,garden_num,heatingType_num,interiorQual_num
159,95.0,7,5.32,40.0,955.0,1928.0,107312387,1.0,1.0,785.0,81.0,5,48145,3.0,138.3,3.0,4.0,3,4,2016.0,871.8759,0,0,1,1,1,0,0,11,6
160,120.0,14,4.92,40.0,850.0,1991.0,113565119,1.0,5.0,670.0,54.0,5,48161,2.0,80.0,4.0,4.0,2,2,2017.0,581.2506,0,0,1,0,1,0,0,15,6
161,203.0,12,5.51,40.0,1261.0,2019.0,111057276,1.0,9.0,973.0,84.54,6,48159,2.5,97.3,1.0,3.0,2,4,2017.0,909.980106,6,1,1,0,1,1,0,15,13
162,190.0,7,2.86,40.0,999.0,1974.0,93188220,1.0,3.0,809.0,101.55,6,48159,4.0,201.0,7.0,7.0,4,5,2017.0,1093.0740449999998,2,0,1,1,0,1,0,15,6
163,275.0,16,4.51,40.0,2345.0,2019.0,113668162,2.0,9.0,2070.0,138.0,9,48147,3.0,33.6,2.0,2.0,3,6,2019.0,1485.4181999999998,6,1,1,0,1,0,0,30,6
164,400.0,29,4.47,2.4,1600.0,1995.0,115639707,1.0,5.0,1200.0,122.0,7,48161,4.0,97.3,1.0,3.0,4,6,2020.0,1313.1958,2,0,0,1,0,0,0,15,13
165,170.0,10,5.83,40.0,1010.0,2014.0,109660120,1.0,8.0,840.0,70.04,6,48167,3.0,49.0,1.0,3.0,3,3,2014.0,753.9035560000001,3,0,1,1,1,0,0,11,13
166,300.0,12,5.15,10.0,1900.0,1904.0,115083898,1.0,1.0,1600.0,160.0,8,48157,4.0,97.3,0.0,2.0,4,7,2010.0,1722.224,0,0,1,0,1,0,1,11,6
167,118.0,3,4.89,10.0,368.0,1990.0,113834547,1.0,4.0,250.0,21.54,1,48165,1.0,223.9,1.0,3.0,1,1,2017.0,231.854406,0,0,0,0,0,0,0,15,6
168,150.0,34,6.85,40.0,1860.0,1953.0,109986292,1.0,2.0,1620.0,136.0,8,48153,4.0,97.3,3.0,5.0,4,6,2018.0,1463.8904,4,0,1,0,1,0,0,15,13
169,100.0,2,4.77,40.0,400.0,1995.0,115555419,1.0,5.0,260.0,27.0,1,48165,1.0,165.85,2.0,3.0,1,1,2017.0,290.6253,0,0,1,0,1,0,0,15,6
170,150.0,15,5.94,40.0,1800.0,1934.0,78166650,1.0,1.0,1450.0,127.5,7,48149,4.0,131.0,1.0,4.0,4,6,2012.0,1372.39725,3,0,1,1,0,0,0,15,13
171,171.0,12,5.51,40.0,1154.0,2019.0,110762269,1.0,9.0,911.0,71.13,6,48159,2.5,97.3,2.0,3.0,2,3,2017.0,765.6362069999999,2,1,0,0,1,1,0,15,13
172,180.0,1,5.07,40.0,778.0,1995.0,114309596,1.0,5.0,598.0,65.75,4,48151,2.0,97.3,0.0,4.0,2,3,2017.0,707.726425,2,0,1,0,1,1,0,16,6
173,200.0,9,4.57,40.0,1400.0,1995.0,113488973,1.0,5.0,1200.0,87.0,7,48155,3.0,97.3,0.0,2.0,3,4,2017.0,936.4593,2,0,1,1,1,1,1,19,13
174,250.0,14,4.97,40.0,1140.0,1984.0,110245012,1.0,4.0,890.0,87.3,6,48167,3.0,97.3,1.0,2.0,3,4,2015.0,939.68847,5,0,1,0,0,0,1,11,13
175,165.0,8,5.01,40.0,1070.0,2019.0,115674358,0.0,9.0,905.0,64.34,6,48145,2.0,97.3,2.0,4.0,2,3,2019.0,692.5493260000001,6,1,0,0,1,1,1,29,13
176,72.0,17,5.46,40.0,432.0,1995.0,111307643,1.0,5.0,360.0,38.0,2,48161,1.0,97.3,1.0,3.0,1,1,2017.0,409.0282,2,0,1,1,1,0,0,16,13
177,160.0,17,5.19,40.0,1260.0,2013.0,107012721,1.0,8.0,1100.0,112.0,7,48167,3.0,97.3,1.0,3.0,3,5,2017.0,1205.5567999999998,5,0,1,1,1,1,1,13,13
178,151.05,6,5.04,40.0,539.0,1995.0,113393302,1.0,5.0,387.95,27.95,2,48159,1.0,14.93,1.0,3.0,1,1,2017.0,300.851005,2,0,1,1,0,1,0,15,13
179,210.0,6,4.92,40.0,930.0,1969.0,113370874,1.0,2.0,720.0,82.0,5,48165,3.0,97.3,0.0,2.0,3,4,2017.0,882.6397999999999,4,0,1,0,1,0,0,15,6
180,70.0,3,4.25,40.0,805.0,1982.0,115488725,1.0,4.0,735.0,70.0,5,48159,2.0,97.3,1.0,3.0,2,3,2017.0,753.473,4,0,1,0,1,0,0,13,13
181,320.0,18,4.88,40.0,1662.0,2004.0,114216219,1.0,6.0,1342.0,122.0,7,48151,4.0,49.0,4.0,4.0,4,6,2017.0,1313.1958,5,0,1,1,1,1,0,15,13
182,105.0,12,6.02,40.0,561.0,2013.0,82155080,1.0,8.0,433.0,31.0,3,48161,1.0,45.0,2.0,3.0,1,1,2013.0,333.6809,5,0,1,1,0,1,0,16,13
183,200.0,6,4.66,40.0,1350.0,2019.0,114747151,1.0,9.0,1150.0,87.63,7,48167,3.0,97.3,0.0,3.0,3,4,2017.0,943.240557,6,1,1,0,1,0,1,9,13
184,300.0,8,5.88,40.0,1520.0,1997.0,110518608,1.0,5.0,1220.0,109.0,7,48143,3.0,151.9,2.0,3.0,3,5,2017.0,1173.2650999999998,2,0,1,0,1,1,0,15,13
185,200.0,12,4.52,40.0,1400.0,1960.0,113666134,1.0,2.0,1200.0,94.0,7,48149,3.0,80.4,2.0,3.0,3,4,2015.0,1011.8066,0,0,1,1,1,0,0,15,13
186,250.0,7,3.37,40.0,1540.0,1908.0,82667288,1.0,1.0,1290.0,98.0,7,48149,3.0,97.3,1.0,3.0,3,4,2019.0,1054.8622,4,0,1,1,1,0,0,15,6
187,220.0,23,1.39,40.0,1035.0,1890.0,80660327,1.0,1.0,815.0,66.0,6,48157,2.0,97.3,3.0,4.0,2,3,2014.0,710.4173999999999,2,0,1,1,1,1,1,13,13
188,250.0,13,4.51,40.0,2125.0,2019.0,113667404,0.0,9.0,1875.0,125.0,8,48147,4.0,33.6,1.0,2.0,4,6,2019.0,1345.4875,6,1,1,0,1,0,0,30,6
189,80.0,4,6.26,40.0,495.0,1995.0,108738090,1.0,5.0,415.0,37.64,3,48155,1.0,97.0,4.0,4.0,1,1,2017.0,405.153196,2,0,0,0,0,0,0,15,13
190,0.0,1,4.37,40.0,195.0,1995.0,67175496,1.0,5.0,195.0,12.0,1,48163,1.0,97.3,1.0,1.0,1,1,2017.0,129.1668,2,0,0,0,0,0,0,15,13
191,200.0,5,2.86,40.0,980.9,1995.0,97241820,1.0,5.0,780.9,81.0,5,48157,3.0,97.3,1.0,3.0,3,4,2018.0,871.8759,4,0,1,1,1,1,0,16,13
192,125.0,26,4.69,40.0,1625.0,1849.0,112773809,2.0,1.0,1500.0,150.0,7,48163,4.0,97.3,1.0,3.0,4,6,2017.0,1614.585,2,0,0,0,0,0,0,15,13
193,130.0,8,2.53,10.0,456.0,1984.0,65674198,0.0,4.0,456.0,38.0,3,48163,2.0,97.3,2.0,3.0,2,1,2017.0,409.0282,0,0,1,1,0,0,1,15,6
194,177.5,12,4.49,40.0,895.0,2019.0,114358340,1.0,9.0,717.5,37.0,5,48143,1.0,97.3,1.0,6.0,1,1,2017.0,398.2643,5,1,1,1,0,1,0,13,13
195,290.0,12,3.81,40.0,1420.0,1945.0,96093615,1.0,1.0,1130.0,119.0,7,48143,4.0,171.8,2.0,3.0,4,5,2017.0,1280.9041,2,0,0,0,1,0,0,30,13
196,95.0,10,5.76,40.0,735.0,2012.0,113826960,1.0,8.0,530.0,40.53,4,48153,1.0,97.3,3.0,4.0,1,1,2012.0,436.260867,0,0,0,1,1,1,0,13,6
197,200.0,6,5.4,40.0,700.0,1963.0,110397701,1.0,2.0,500.0,69.0,3,48157,3.0,240.0,1.0,3.0,3,3,2017.0,742.7090999999999,2,0,0,0,1,0,0,15,6
198,180.0,8,5.83,40.0,900.0,2016.0,111084825,1.0,9.0,720.0,60.0,5,48167,2.0,42.0,1.0,2.0,2,2,2017.0,645.834,5,0,1,0,1,1,0,11,13
199,160.0,11,5.99,40.0,1250.0,2001.0,111311466,1.0,6.0,1100.0,98.0,7,48147,3.0,97.3,1.0,3.0,3,4,2019.0,1054.8622,2,0,1,0,1,0,0,15,13
200,80.0,6,4.29,40.0,730.0,1952.0,115709809,1.0,2.0,650.0,50.0,5,48149,2.0,64.8,3.0,3.0,2,2,2018.0,538.1949999999999,2,0,1,0,1,0,0,15,13
201,94.0,3,4.57,40.0,516.19,1954.0,113702985,1.0,2.0,389.19,47.52,2,48155,2.0,163.0,2.0,3.0,2,2,2017.0,511.500528,2,0,0,0,1,0,0,15,13
202,190.0,11,2.56,40.0,815.0,1995.0,92279827,1.0,5.0,625.0,70.0,5,48161,2.0,97.3,0.0,4.0,2,3,2017.0,753.473,0,0,1,1,1,0,0,15,6
203,90.0,7,4.95,40.0,435.12,1997.0,115298713,1.0,5.0,345.12,59.52,2,48151,2.0,101.7,1.0,2.0,2,2,2017.0,640.667328,0,0,1,0,0,0,0,15,6
204,315.0,15,5.52,40.0,2090.0,2019.0,113785182,1.0,9.0,1775.0,141.0,8,48145,4.0,97.3,3.0,4.0,4,6,2019.0,1517.7098999999998,6,1,1,0,1,1,0,29,13
205,77.5,22,4.88,2.4,644.5,2015.0,115688385,1.0,8.0,567.0,32.0,4,48151,1.0,47.5,1.0,5.0,1,1,2017.0,344.4448,5,0,1,1,0,1,0,15,6
206,77.5,6,4.58,40.0,466.5,1984.0,115696617,1.0,4.0,389.0,43.0,2,48165,1.0,124.3,0.0,3.0,1,2,2017.0,462.8477,0,0,0,0,0,0,1,15,13
207,200.0,0,4.97,40.0,798.5,1995.0,114010572,1.0,5.0,598.5,63.0,4,48157,2.0,97.3,2.0,3.0,2,3,2017.0,678.1256999999999,0,0,1,1,1,1,0,16,13
208,175.0,23,4.66,40.0,925.0,1995.0,115506526,1.0,5.0,750.0,75.0,5,48145,3.0,97.3,3.0,3.0,3,3,2019.0,807.2925,2,0,1,1,1,0,0,15,6
209,480.0,1,4.74,40.0,2970.0,1995.0,113860905,1.0,5.0,2490.0,160.0,9,48149,4.0,97.3,0.0,2.0,4,7,2019.0,1722.224,2,0,1,0,0,0,1,15,6
210,330.0,6,4.84,40.0,825.0,2016.0,113861134,1.0,9.0,495.0,28.0,3,48143,1.0,44.3,14.0,14.0,1,1,2017.0,301.3892,5,0,0,1,0,1,0,16,13
211,130.46,2,4.9,40.0,505.31,2020.0,115611402,1.0,9.0,374.85,35.7,2,48151,1.5,97.3,1.0,3.0,1,1,2017.0,384.27123,2,1,0,1,0,1,0,16,13
212,120.0,30,5.79,40.0,1415.0,1974.0,110067658,2.0,3.0,1295.0,180.0,7,48165,5.0,186.6,1.0,3.0,5,7,2017.0,1937.502,2,0,0,0,0,0,0,15,13
213,250.0,8,6.67,40.0,925.0,1993.0,111256424,1.0,5.0,675.0,75.0,5,48167,3.0,119.0,0.0,2.0,3,3,2017.0,807.2925,0,0,1,0,1,0,0,15,13
214,170.0,5,5.32,40.0,1100.0,1995.0,110592036,1.0,5.0,770.0,59.0,5,48159,3.0,97.3,0.0,3.0,3,2,2019.0,635.0701,2,0,0,1,1,0,1,11,6
215,0.0,1,5.94,40.0,202.0,1995.0,112646509,1.0,5.0,202.0,25.0,1,48169,2.0,97.3,1.0,2.0,2,1,2017.0,269.0975,0,0,1,1,1,0,1,11,6
216,310.0,13,5.7,40.0,1200.0,2019.0,111262511,1.0,9.0,890.0,65.0,6,48143,2.0,52.4,5.0,6.0,2,3,2017.0,699.6535,6,1,0,1,0,1,0,13,13
217,240.0,10,4.17,40.0,1540.0,1963.0,114624376,1.0,2.0,1300.0,120.0,7,48155,5.0,97.3,1.0,1.0,5,5,2016.0,1291.668,5,0,1,1,0,0,1,11,13
218,250.0,14,4.31,40.0,1465.0,2019.0,113134657,1.0,9.0,1145.0,99.6,7,48157,3.0,32.0,3.0,4.0,3,4,2017.0,1072.08444,6,1,1,0,1,1,0,16,13
219,160.0,10,4.51,40.0,1990.0,1995.0,113077342,2.0,5.0,1990.0,125.0,8,48147,4.5,97.3,1.0,2.0,4,6,2017.0,1345.4875,6,0,1,0,1,0,0,15,6
220,450.0,10,6.03,40.0,2140.0,2001.0,111261829,1.0,6.0,1640.0,137.0,8,48155,4.0,78.1,1.0,3.0,4,6,2017.0,1474.6543,0,0,1,1,1,1,0,13,13
221,135.0,6,4.69,2.4,860.0,1972.0,100351789,1.0,3.0,725.0,64.0,5,48149,2.0,264.6,2.0,2.0,2,3,2017.0,688.8896,1,0,1,0,1,0,0,15,13
222,160.0,10,4.29,40.0,770.0,1995.0,115682554,1.0,5.0,770.0,39.0,5,48149,1.0,97.3,1.0,3.0,1,1,2017.0,419.7921,2,0,1,1,0,1,0,15,13
223,60.0,6,4.88,40.0,550.0,1968.0,115667700,1.0,2.0,440.0,35.18,3,48153,1.0,102.0,1.0,4.0,1,1,2017.0,378.674002,0,0,0,1,1,1,0,15,6
224,150.0,7,4.24,40.0,680.0,1995.0,115641865,1.0,5.0,530.0,62.0,4,48163,2.0,97.3,2.0,2.0,2,3,2017.0,667.3618,0,0,0,0,0,0,0,15,6
225,175.0,9,5.04,40.0,765.0,1974.0,88780107,1.0,3.0,590.0,69.0,4,48167,2.0,120.0,1.0,3.0,2,3,2016.0,742.7090999999999,3,0,1,1,1,0,0,11,13
226,133.0,8,5.74,40.0,635.38,1900.0,111311636,1.0,1.0,487.38,55.7,3,48161,2.0,73.8,1.0,2.0,2,2,2017.0,599.54923,5,0,1,0,0,0,0,15,13
227,150.0,10,4.74,40.0,1005.0,2019.0,115198894,1.0,9.0,855.0,58.0,6,48165,2.0,40.6,1.0,3.0,2,2,2017.0,624.3062,6,1,1,0,0,1,0,15,13
228,125.0,4,6.57,10.0,670.0,1972.0,111392717,1.0,3.0,545.0,42.0,4,48151,1.0,144.5,3.0,3.0,1,2,2017.0,452.0838,2,0,1,0,0,1,0,15,6
229,140.0,8,6.49,40.0,720.0,1995.0,106924400,1.0,5.0,580.0,72.0,4,48163,3.0,97.3,2.0,3.0,3,3,2014.0,775.0008,0,0,1,0,1,0,1,15,6
230,160.0,14,6.67,5.0,1530.0,2006.0,102533472,1.0,7.0,1370.0,133.0,7,48155,5.0,97.3,1.0,3.0,5,6,2017.0,1431.5987,2,0,1,0,1,0,0,11,13
231,140.0,11,4.74,40.0,925.0,2019.0,115198866,1.0,9.0,785.0,53.0,5,48165,2.0,40.6,1.0,3.0,2,2,2017.0,570.4866999999999,6,1,1,0,0,1,0,15,13
232,350.0,11,6.42,10.0,1400.0,1995.0,106009984,1.0,5.0,1050.0,108.0,7,48143,3.0,97.3,4.0,4.0,3,5,2017.0,1162.5012,2,0,1,1,0,1,0,15,13
233,120.0,10,6.17,2.4,715.0,1936.0,103105220,1.0,1.0,595.0,70.0,4,48167,3.0,97.3,1.0,3.0,3,3,2004.0,753.473,1,0,1,0,1,0,1,11,6
234,210.0,7,5.32,40.0,1625.0,1995.0,110592345,2.0,5.0,1155.0,72.0,7,48159,4.0,97.3,0.0,3.0,4,3,2019.0,775.0008,2,0,0,1,1,0,1,11,13
235,200.0,5,6.35,10.0,650.0,1995.0,111405700,1.0,5.0,450.0,42.0,3,48151,2.0,97.3,2.0,4.0,2,2,2017.0,452.0838,2,0,0,1,0,0,0,30,13
236,318.0,10,5.79,40.0,1047.0,1974.0,115662998,1.0,3.0,729.0,96.0,5,48159,3.0,201.0,1.0,2.0,3,4,2017.0,1033.3344,2,0,0,0,0,0,0,15,13
237,200.0,21,5.15,40.0,1590.0,2019.0,114900077,1.0,9.0,1390.0,100.0,7,48157,2.5,97.3,1.0,2.0,2,4,2019.0,1076.39,6,1,1,0,0,0,1,13,13
238,150.0,2,6.02,40.0,575.0,1975.0,110516054,1.0,3.0,425.0,50.0,3,48161,2.0,97.3,1.0,5.0,2,2,2009.0,538.1949999999999,0,0,1,0,1,1,0,15,6
239,150.0,0,5.7,40.0,619.0,1963.0,111406381,1.0,2.0,469.0,67.0,3,48167,2.0,98.5,3.0,3.0,2,3,2016.0,721.1813,0,0,0,0,1,0,0,11,6
240,200.0,12,5.76,40.0,800.0,1982.0,111304130,1.0,4.0,600.0,62.0,4,48149,3.0,174.0,1.0,1.0,3,3,2016.0,667.3618,0,0,1,0,1,0,0,15,13
241,200.0,8,4.38,40.0,1050.0,1961.0,115500362,1.0,2.0,850.0,105.0,6,48159,4.0,119.73,0.0,0.0,4,5,1994.0,1130.2095,2,0,1,1,1,0,0,11,6
